customer_id,loyalty_score,product_id,product_description,product_category,basket,date_of_purchase
C37,,,,,"[{'product_id': 'P62', 'price': 1496}, {'product_id': 'P61', 'price': 1724}]",2018-12-02 15:49:00
C43,,,,,"[{'product_id': 'P46', 'price': 1823}, {'product_id': 'P43', 'price': 1948}]",2018-12-02 16:15:00
C45,,,,,"[{'product_id': 'P40', 'price': 1413}, {'product_id': 'P39', 'price': 1513}]",2018-12-02 09:02:00
C49,,,,,"[{'product_id': 'P40', 'price': 555}]",2018-12-02 07:30:00
C50,,,,,"[{'product_id': 'P36', 'price': 1654}, {'product_id': 'P36', 'price': 1558}]",2018-12-02 07:04:00
C53,,,,,"[{'product_id': 'P36', 'price': 417}, {'product_id': 'P38', 'price': 719}, {'product_id': 'P37', 'price': 1486}]",2018-12-02 05:00:00
C65,,,,,"[{'product_id': 'P37', 'price': 879}]",2018-12-02 15:59:00
C66,,,,,"[{'product_id': 'P28', 'price': 399}, {'product_id': 'P25', 'price': 432}, {'product_id': 'P33', 'price': 613}]",2018-12-02 11:36:00
C69,,,,,"[{'product_id': 'P25', 'price': 1665}, {'product_id': 'P24', 'price': 1514}, {'product_id': 'P34', 'price': 824}]",2018-12-02 12:04:00
C70,,,,,"[{'product_id': 'P17', 'price': 812}, {'product_id': 'P18', 'price': 434}]",2018-12-02 09:50:00
C80,,,,,"[{'product_id': 'P38', 'price': 1806}]",2018-12-02 08:08:00
C81,,,,,"[{'product_id': 'P24', 'price': 870}, {'product_id': 'P30', 'price': 1181}, {'product_id': 'P27', 'price': 535}]",2018-12-02 12:25:00
C82,,,,,"[{'product_id': 'P59', 'price': 659}]",2018-12-02 11:44:00
C87,,,,,"[{'product_id': 'P12', 'price': 877}, {'product_id': 'P11', 'price': 603}]",2018-12-02 10:44:00
C89,,,,,"[{'product_id': 'P39', 'price': 1910}, {'product_id': 'P36', 'price': 94}]",2018-12-02 05:25:00
C96,,,,,"[{'product_id': 'P28', 'price': 383}]",2018-12-02 09:01:00
C104,,,,,"[{'product_id': 'P17', 'price': 277}, {'product_id': 'P17', 'price': 1038}]",2018-12-02 14:57:00
C110,,,,,"[{'product_id': 'P42', 'price': 1718}]",2018-12-02 10:46:00
C114,,,,,"[{'product_id': 'P54', 'price': 1138}]",2018-12-02 22:00:00
C116,,,,,"[{'product_id': 'P31', 'price': 1408}, {'product_id': 'P25', 'price': 757}]",2018-12-02 19:21:00
C119,,,,,"[{'product_id': 'P23', 'price': 1637}]",2018-12-02 17:05:00
C123,,,,,"[{'product_id': 'P05', 'price': 1623}]",2018-12-02 14:36:00
C124,,,,,"[{'product_id': 'P39', 'price': 842}, {'product_id': 'P39', 'price': 1743}]",2018-12-02 08:22:00
C128,,,,,"[{'product_id': 'P58', 'price': 504}, {'product_id': 'P45', 'price': 140}, {'product_id': 'P45', 'price': 1892}]",2018-12-02 16:45:00
C129,,,,,"[{'product_id': 'P07', 'price': 1967}]",2018-12-02 15:40:00
C136,,,,,"[{'product_id': 'P03', 'price': 1648}]",2018-12-02 23:47:00
C12,,,,,"[{'product_id': 'P27', 'price': 664}, {'product_id': 'P25', 'price': 607}, {'product_id': 'P34', 'price': 1004}]",2018-12-03 05:59:00
C13,,,,,"[{'product_id': 'P37', 'price': 861}, {'product_id': 'P38', 'price': 1230}, {'product_id': 'P35', 'price': 541}]",2018-12-03 14:25:00
C27,,,,,"[{'product_id': 'P35', 'price': 962}, {'product_id': 'P39', 'price': 695}]",2018-12-03 12:40:00
C28,,,,,"[{'product_id': 'P15', 'price': 1922}, {'product_id': 'P19', 'price': 572}, {'product_id': 'P21', 'price': 1325}]",2018-12-03 23:23:00
C29,,,,,"[{'product_id': 'P28', 'price': 1461}, {'product_id': 'P29', 'price': 1739}]",2018-12-03 09:44:00
C32,,,,,"[{'product_id': 'P37', 'price': 1763}, {'product_id': 'P38', 'price': 839}, {'product_id': 'P38', 'price': 1490}]",2018-12-03 14:31:00
C35,,,,,"[{'product_id': 'P63', 'price': 1073}, {'product_id': 'P61', 'price': 987}]",2018-12-03 11:41:00
C43,,,,,"[{'product_id': 'P44', 'price': 1797}, {'product_id': 'P44', 'price': 333}, {'product_id': 'P48', 'price': 155}]",2018-12-03 09:20:00
C47,,,,,"[{'product_id': 'P56', 'price': 1856}, {'product_id': 'P52', 'price': 1789}, {'product_id': 'P51', 'price': 1046}]",2018-12-03 15:06:00
C59,,,,,"[{'product_id': 'P55', 'price': 672}, {'product_id': 'P60', 'price': 1429}, {'product_id': 'P50', 'price': 1736}]",2018-12-03 13:24:00
C66,,,,,"[{'product_id': 'P36', 'price': 899}, {'product_id': 'P39', 'price': 1839}]",2018-12-03 22:04:00
C69,,,,,"[{'product_id': 'P26', 'price': 1669}]",2018-12-03 10:42:00
C70,,,,,"[{'product_id': 'P04', 'price': 1035}]",2018-12-03 10:21:00
C76,,,,,"[{'product_id': 'P47', 'price': 67}, {'product_id': 'P55', 'price': 1466}]",2018-12-03 02:51:00
C82,,,,,"[{'product_id': 'P49', 'price': 849}, {'product_id': 'P51', 'price': 36}, {'product_id': 'P42', 'price': 1687}]",2018-12-03 07:38:00
C83,,,,,"[{'product_id': 'P61', 'price': 1200}, {'product_id': 'P64', 'price': 435}, {'product_id': 'P61', 'price': 1097}]",2018-12-03 16:47:00
C85,,,,,"[{'product_id': 'P31', 'price': 715}, {'product_id': 'P24', 'price': 778}]",2018-12-03 06:56:00
C87,,,,,"[{'product_id': 'P05', 'price': 740}]",2018-12-03 11:59:00
C91,,,,,"[{'product_id': 'P37', 'price': 1846}]",2018-12-03 06:10:00
C106,,,,,"[{'product_id': 'P39', 'price': 498}, {'product_id': 'P38', 'price': 512}, {'product_id': 'P36', 'price': 1746}]",2018-12-03 12:17:00
C112,,,,,"[{'product_id': 'P27', 'price': 1622}, {'product_id': 'P24', 'price': 377}, {'product_id': 'P32', 'price': 294}]",2018-12-03 02:59:00
C120,,,,,"[{'product_id': 'P58', 'price': 819}, {'product_id': 'P55', 'price': 764}]",2018-12-03 20:29:00
C130,,,,,"[{'product_id': 'P44', 'price': 1081}, {'product_id': 'P45', 'price': 44}, {'product_id': 'P50', 'price': 1527}]",2018-12-03 06:08:00
C1,,,,,"[{'product_id': 'P03', 'price': 221}, {'product_id': 'P11', 'price': 1967}]",2018-12-04 15:31:00
C22,,,,,"[{'product_id': 'P46', 'price': 968}, {'product_id': 'P47', 'price': 1308}, {'product_id': 'P49', 'price': 3}]",2018-12-04 20:13:00
C25,,,,,"[{'product_id': 'P62', 'price': 1372}]",2018-12-04 16:04:00
C26,,,,,"[{'product_id': 'P50', 'price': 448}]",2018-12-04 19:38:00
C29,,,,,"[{'product_id': 'P25', 'price': 349}]",2018-12-04 14:41:00
C34,,,,,"[{'product_id': 'P51', 'price': 579}]",2018-12-04 21:56:00
C37,,,,,"[{'product_id': 'P28', 'price': 947}, {'product_id': 'P33', 'price': 1252}]",2018-12-04 22:36:00
C38,,,,,"[{'product_id': 'P31', 'price': 1080}]",2018-12-04 08:57:00
C40,,,,,"[{'product_id': 'P38', 'price': 1219}, {'product_id': 'P39', 'price': 1319}]",2018-12-04 11:51:00
C55,,,,,"[{'product_id': 'P29', 'price': 1436}, {'product_id': 'P25', 'price': 614}]",2018-12-04 11:59:00
C58,,,,,"[{'product_id': 'P29', 'price': 1789}, {'product_id': 'P32', 'price': 1516}]",2018-12-04 18:34:00
C64,,,,,"[{'product_id': 'P30', 'price': 1203}]",2018-12-04 05:45:00
C70,,,,,"[{'product_id': 'P14', 'price': 1732}, {'product_id': 'P13', 'price': 139}]",2018-12-04 18:44:00
C73,,,,,"[{'product_id': 'P46', 'price': 247}, {'product_id': 'P59', 'price': 315}, {'product_id': 'P42', 'price': 1491}]",2018-12-04 12:32:00
C75,,,,,"[{'product_id': 'P61', 'price': 1947}]",2018-12-04 03:33:00
C84,,,,,"[{'product_id': 'P39', 'price': 1830}, {'product_id': 'P37', 'price': 1129}, {'product_id': 'P40', 'price': 1656}]",2018-12-04 08:54:00
C87,,,,,"[{'product_id': 'P04', 'price': 1592}, {'product_id': 'P03', 'price': 1436}]",2018-12-04 15:13:00
C90,,,,,"[{'product_id': 'P29', 'price': 1879}, {'product_id': 'P25', 'price': 972}, {'product_id': 'P23', 'price': 1261}]",2018-12-04 14:29:00
C96,,,,,"[{'product_id': 'P27', 'price': 838}, {'product_id': 'P22', 'price': 928}]",2018-12-04 06:09:00
C99,,,,,"[{'product_id': 'P25', 'price': 667}, {'product_id': 'P23', 'price': 1183}]",2018-12-04 13:11:00
C103,,,,,"[{'product_id': 'P52', 'price': 1134}, {'product_id': 'P54', 'price': 1985}, {'product_id': 'P46', 'price': 1366}]",2018-12-04 10:51:00
C105,,,,,"[{'product_id': 'P57', 'price': 696}, {'product_id': 'P56', 'price': 1515}, {'product_id': 'P56', 'price': 343}]",2018-12-04 10:31:00
C107,,,,,"[{'product_id': 'P55', 'price': 395}]",2018-12-04 08:50:00
C108,,,,,"[{'product_id': 'P39', 'price': 695}, {'product_id': 'P39', 'price': 1351}]",2018-12-04 12:20:00
C120,,,,,"[{'product_id': 'P38', 'price': 1566}]",2018-12-04 07:09:00
C126,,,,,"[{'product_id': 'P39', 'price': 411}, {'product_id': 'P37', 'price': 226}, {'product_id': 'P37', 'price': 1874}]",2018-12-04 10:40:00
C129,,,,,"[{'product_id': 'P05', 'price': 1935}]",2018-12-04 05:37:00
C130,,,,,"[{'product_id': 'P09', 'price': 547}]",2018-12-04 15:52:00
C8,,,,,"[{'product_id': 'P34', 'price': 1835}]",2018-12-05 10:13:00
C12,,,,,"[{'product_id': 'P27', 'price': 768}, {'product_id': 'P25', 'price': 70}, {'product_id': 'P27', 'price': 1779}]",2018-12-05 10:02:00
C13,,,,,"[{'product_id': 'P40', 'price': 1548}]",2018-12-05 12:35:00
C14,,,,,"[{'product_id': 'P08', 'price': 650}]",2018-12-05 09:46:00
C21,,,,,"[{'product_id': 'P03', 'price': 564}, {'product_id': 'P07', 'price': 1303}]",2018-12-05 04:47:00
C30,,,,,"[{'product_id': 'P25', 'price': 647}]",2018-12-05 06:42:00
C47,,,,,"[{'product_id': 'P42', 'price': 1056}, {'product_id': 'P43', 'price': 1546}, {'product_id': 'P50', 'price': 1839}]",2018-12-05 14:32:00
C64,,,,,"[{'product_id': 'P38', 'price': 186}, {'product_id': 'P37', 'price': 593}, {'product_id': 'P37', 'price': 405}]",2018-12-05 16:20:00
C76,,,,,"[{'product_id': 'P25', 'price': 1561}, {'product_id': 'P25', 'price': 992}]",2018-12-05 13:12:00
C78,,,,,"[{'product_id': 'P34', 'price': 1815}, {'product_id': 'P30', 'price': 1945}, {'product_id': 'P28', 'price': 1468}]",2018-12-05 03:08:00
C79,,,,,"[{'product_id': 'P37', 'price': 1682}, {'product_id': 'P37', 'price': 1394}, {'product_id': 'P39', 'price': 1425}]",2018-12-05 17:47:00
C84,,,,,"[{'product_id': 'P63', 'price': 517}, {'product_id': 'P62', 'price': 478}, {'product_id': 'P64', 'price': 922}]",2018-12-05 13:31:00
C86,,,,,"[{'product_id': 'P47', 'price': 753}, {'product_id': 'P51', 'price': 1348}, {'product_id': 'P50', 'price': 873}]",2018-12-05 04:21:00
C87,,,,,"[{'product_id': 'P09', 'price': 547}, {'product_id': 'P01', 'price': 1697}, {'product_id': 'P04', 'price': 1700}]",2018-12-05 14:49:00
C90,,,,,"[{'product_id': 'P25', 'price': 692}]",2018-12-05 13:00:00
C92,,,,,"[{'product_id': 'P62', 'price': 898}, {'product_id': 'P61', 'price': 230}, {'product_id': 'P64', 'price': 41}]",2018-12-05 15:02:00
C95,,,,,"[{'product_id': 'P36', 'price': 1355}, {'product_id': 'P40', 'price': 753}, {'product_id': 'P36', 'price': 1825}]",2018-12-05 18:08:00
C97,,,,,"[{'product_id': 'P64', 'price': 1134}]",2018-12-05 04:14:00
C98,,,,,"[{'product_id': 'P62', 'price': 1511}, {'product_id': 'P62', 'price': 829}]",2018-12-05 19:52:00
C99,,,,,"[{'product_id': 'P27', 'price': 679}, {'product_id': 'P27', 'price': 733}, {'product_id': 'P24', 'price': 655}]",2018-12-05 09:15:00
C113,,,,,"[{'product_id': 'P27', 'price': 1667}, {'product_id': 'P25', 'price': 46}, {'product_id': 'P23', 'price': 1965}]",2018-12-05 06:24:00
C9,,,,,"[{'product_id': 'P54', 'price': 467}, {'product_id': 'P42', 'price': 602}, {'product_id': 'P46', 'price': 1654}]",2018-12-06 13:59:00
C15,,,,,"[{'product_id': 'P62', 'price': 1045}, {'product_id': 'P63', 'price': 898}]",2018-12-06 12:25:00
C20,,,,,"[{'product_id': 'P40', 'price': 850}, {'product_id': 'P37', 'price': 1480}]",2018-12-06 14:43:00
C30,,,,,"[{'product_id': 'P51', 'price': 880}]",2018-12-06 06:51:00
C39,,,,,"[{'product_id': 'P61', 'price': 998}, {'product_id': 'P62', 'price': 1058}, {'product_id': 'P63', 'price': 1768}]",2018-12-06 08:44:00
C45,,,,,"[{'product_id': 'P35', 'price': 1888}, {'product_id': 'P35', 'price': 1215}]",2018-12-06 08:08:00
C56,,,,,"[{'product_id': 'P06', 'price': 308}]",2018-12-06 09:43:00
C58,,,,,"[{'product_id': 'P48', 'price': 1334}, {'product_id': 'P42', 'price': 222}]",2018-12-06 22:22:00
C60,,,,,"[{'product_id': 'P23', 'price': 1857}, {'product_id': 'P27', 'price': 157}]",2018-12-06 05:21:00
C62,,,,,"[{'product_id': 'P33', 'price': 1503}, {'product_id': 'P24', 'price': 1156}, {'product_id': 'P27', 'price': 1302}]",2018-12-06 14:10:00
C79,,,,,"[{'product_id': 'P39', 'price': 1521}, {'product_id': 'P35', 'price': 929}]",2018-12-06 22:06:00
C85,,,,,"[{'product_id': 'P57', 'price': 1094}, {'product_id': 'P45', 'price': 935}, {'product_id': 'P55', 'price': 1677}]",2018-12-06 19:23:00
C86,,,,,"[{'product_id': 'P39', 'price': 890}]",2018-12-06 09:15:00
C89,,,,,"[{'product_id': 'P40', 'price': 496}, {'product_id': 'P40', 'price': 181}, {'product_id': 'P38', 'price': 1282}]",2018-12-06 14:24:00
C93,,,,,"[{'product_id': 'P52', 'price': 577}, {'product_id': 'P48', 'price': 947}, {'product_id': 'P56', 'price': 1627}]",2018-12-06 08:04:00
C95,,,,,"[{'product_id': 'P26', 'price': 131}, {'product_id': 'P31', 'price': 450}, {'product_id': 'P25', 'price': 510}]",2018-12-06 10:37:00
C98,,,,,"[{'product_id': 'P38', 'price': 590}, {'product_id': 'P38', 'price': 1571}, {'product_id': 'P39', 'price': 1950}]",2018-12-06 23:43:00
C106,,,,,"[{'product_id': 'P35', 'price': 626}]",2018-12-06 08:34:00
C109,,,,,"[{'product_id': 'P26', 'price': 1874}]",2018-12-06 07:30:00
C114,,,,,"[{'product_id': 'P58', 'price': 828}, {'product_id': 'P58', 'price': 117}]",2018-12-06 23:48:00
C120,,,,,"[{'product_id': 'P23', 'price': 862}, {'product_id': 'P27', 'price': 55}, {'product_id': 'P22', 'price': 516}]",2018-12-06 20:38:00
C130,,,,,"[{'product_id': 'P07', 'price': 166}, {'product_id': 'P12', 'price': 886}, {'product_id': 'P10', 'price': 1130}]",2018-12-06 21:15:00
C134,,,,,"[{'product_id': 'P57', 'price': 331}, {'product_id': 'P47', 'price': 50}, {'product_id': 'P55', 'price': 124}]",2018-12-06 08:52:00
C135,,,,,"[{'product_id': 'P46', 'price': 116}, {'product_id': 'P58', 'price': 1934}, {'product_id': 'P59', 'price': 1854}]",2018-12-06 05:31:00
C4,,,,,"[{'product_id': 'P40', 'price': 11}]",2018-12-07 20:46:00
C9,,,,,"[{'product_id': 'P05', 'price': 427}, {'product_id': 'P05', 'price': 1196}]",2018-12-07 11:51:00
C13,,,,,"[{'product_id': 'P35', 'price': 1433}]",2018-12-07 03:25:00
C14,,,,,"[{'product_id': 'P07', 'price': 752}, {'product_id': 'P01', 'price': 879}, {'product_id': 'P01', 'price': 1579}]",2018-12-07 04:07:00
C21,,,,,"[{'product_id': 'P05', 'price': 1526}]",2018-12-07 04:03:00
C23,,,,,"[{'product_id': 'P35', 'price': 1973}]",2018-12-07 22:18:00
C24,,,,,"[{'product_id': 'P48', 'price': 333}]",2018-12-07 06:56:00
C29,,,,,"[{'product_id': 'P28', 'price': 1855}, {'product_id': 'P23', 'price': 297}]",2018-12-07 05:19:00
C31,,,,,"[{'product_id': 'P58', 'price': 722}, {'product_id': 'P55', 'price': 668}, {'product_id': 'P57', 'price': 433}]",2018-12-07 20:08:00
C33,,,,,"[{'product_id': 'P22', 'price': 996}, {'product_id': 'P23', 'price': 1923}]",2018-12-07 17:59:00
C39,,,,,"[{'product_id': 'P57', 'price': 1109}, {'product_id': 'P58', 'price': 1903}]",2018-12-07 14:34:00
C50,,,,,"[{'product_id': 'P36', 'price': 166}, {'product_id': 'P35', 'price': 336}, {'product_id': 'P36', 'price': 391}]",2018-12-07 04:18:00
C55,,,,,"[{'product_id': 'P36', 'price': 3}]",2018-12-07 06:42:00
C58,,,,,"[{'product_id': 'P31', 'price': 416}, {'product_id': 'P31', 'price': 502}, {'product_id': 'P23', 'price': 801}]",2018-12-07 05:58:00
C64,,,,,"[{'product_id': 'P35', 'price': 1146}, {'product_id': 'P39', 'price': 1806}, {'product_id': 'P36', 'price': 607}]",2018-12-07 15:07:00
C66,,,,,"[{'product_id': 'P35', 'price': 1074}, {'product_id': 'P40', 'price': 1758}]",2018-12-07 17:29:00
C85,,,,,"[{'product_id': 'P24', 'price': 1141}, {'product_id': 'P26', 'price': 1083}, {'product_id': 'P33', 'price': 955}]",2018-12-07 08:47:00
C102,,,,,"[{'product_id': 'P38', 'price': 1181}, {'product_id': 'P40', 'price': 1917}, {'product_id': 'P39', 'price': 551}]",2018-12-07 23:56:00
C111,,,,,"[{'product_id': 'P63', 'price': 1751}]",2018-12-07 21:53:00
C115,,,,,"[{'product_id': 'P33', 'price': 633}, {'product_id': 'P29', 'price': 383}, {'product_id': 'P31', 'price': 781}]",2018-12-07 15:10:00
C128,,,,,"[{'product_id': 'P51', 'price': 1260}]",2018-12-07 23:02:00
C130,,,,,"[{'product_id': 'P05', 'price': 561}, {'product_id': 'P09', 'price': 1402}, {'product_id': 'P12', 'price': 1693}]",2018-12-07 19:57:00
C7,,,,,"[{'product_id': 'P36', 'price': 597}, {'product_id': 'P37', 'price': 689}, {'product_id': 'P35', 'price': 351}]",2018-12-08 19:30:00
C10,,,,,"[{'product_id': 'P33', 'price': 1846}, {'product_id': 'P23', 'price': 520}, {'product_id': 'P25', 'price': 1615}]",2018-12-08 06:26:00
C12,,,,,"[{'product_id': 'P27', 'price': 693}, {'product_id': 'P32', 'price': 1604}, {'product_id': 'P33', 'price': 566}]",2018-12-08 07:53:00
C44,,,,,"[{'product_id': 'P36', 'price': 1435}, {'product_id': 'P37', 'price': 100}]",2018-12-08 13:45:00
